,cumulative_distance,n_game_road_trip,win?,season_end_year
0,8,1,0.0,2013
1,8,1,1.0,2013
2,8,1,0.0,2013
3,8,1,1.0,2013
4,8,1,1.0,2014
5,8,1,1.0,2014
6,8,1,0.0,2014
7,8,1,0.0,2015
8,8,1,1.0,2015
9,8,1,1.0,2015
10,8,1,0.0,2016
11,8,1,0.0,2016
12,8,1,0.0,2016
13,8,1,0.0,2017
14,8,1,1.0,2017
15,8,1,1.0,2018
16,8,1,1.0,2018
17,8,1,0.0,2018
18,8,1,0.0,2019
19,8,1,0.0,2019
20,8,1,0.0,2019
21,8,1,1.0,2019
22,8,1,1.0,2020
23,8,1,1.0,2020
24,16,1,0.0,2009
25,16,1,0.0,2009
26,16,1,0.0,2010
27,16,1,1.0,2010
28,16,1,1.0,2011
29,16,1,0.0,2011
30,16,1,0.0,2011
31,16,1,1.0,2012
32,16,1,0.0,2012
33,16,1,1.0,2012
34,121,1,0.0,2009
35,121,1,1.0,2009
36,121,1,1.0,2009
37,121,1,0.0,2009
38,121,1,0.0,2010
39,121,1,0.0,2010
40,121,1,0.0,2010
41,121,1,1.0,2011
42,121,1,0.0,2011
43,121,1,0.0,2011
44,121,1,0.0,2012
45,121,1,0.0,2012
46,121,1,0.0,2013
47,121,1,0.0,2013
48,121,1,1.0,2013
49,121,1,1.0,2014
50,121,1,0.0,2014
51,121,1,0.0,2014
52,121,1,1.0,2015
53,121,1,1.0,2015
54,121,1,0.0,2015
55,121,1,0.0,2015
56,121,1,1.0,2016
57,121,1,0.0,2016
58,121,1,0.0,2016
59,121,1,1.0,2017
60,121,1,0.0,2017
61,121,1,1.0,2018
62,121,1,1.0,2018
63,121,1,1.0,2018
64,121,1,1.0,2019
65,121,1,1.0,2019
66,121,1,0.0,2020
67,121,1,1.0,2020
68,129,1,0.0,2013
69,129,1,1.0,2013
70,129,1,0.0,2014
71,129,1,0.0,2014
72,129,1,1.0,2014
73,129,1,1.0,2015
74,129,1,0.0,2016
75,129,1,0.0,2016
76,129,1,0.0,2016
