start_time,away_team,away_team_score,home_team,home_team_score,home_team_win?
2013-10-29 23:00:00+00:00,ORLANDO MAGIC,87,INDIANA PACERS,97,True
2013-10-30 00:00:00+00:00,CHICAGO BULLS,95,MIAMI HEAT,107,True
2013-10-30 02:30:00+00:00,LOS ANGELES CLIPPERS,103,LOS ANGELES LAKERS,116,True
2013-10-30 23:00:00+00:00,BROOKLYN NETS,94,CLEVELAND CAVALIERS,98,True
2013-10-30 23:00:00+00:00,BOSTON CELTICS,87,TORONTO RAPTORS,93,True
2013-10-30 23:00:00+00:00,MIAMI HEAT,110,PHILADELPHIA 76ERS,114,True
2013-10-30 23:30:00+00:00,WASHINGTON WIZARDS,102,DETROIT PISTONS,113,True
2013-10-30 23:30:00+00:00,MILWAUKEE BUCKS,83,NEW YORK KNICKS,90,True
2013-10-31 00:00:00+00:00,INDIANA PACERS,95,NEW ORLEANS PELICANS,90,False
2013-10-31 00:00:00+00:00,ORLANDO MAGIC,115,MINNESOTA TIMBERWOLVES,120,True
2013-10-31 00:00:00+00:00,CHARLOTTE BOBCATS,83,HOUSTON ROCKETS,96,True
2013-10-31 00:30:00+00:00,MEMPHIS GRIZZLIES,94,SAN ANTONIO SPURS,101,True
2013-10-31 00:30:00+00:00,ATLANTA HAWKS,109,DALLAS MAVERICKS,118,True
2013-10-31 01:00:00+00:00,OKLAHOMA CITY THUNDER,101,UTAH JAZZ,98,False
2013-10-31 02:00:00+00:00,PORTLAND TRAIL BLAZERS,91,PHOENIX SUNS,104,True
2013-10-31 02:00:00+00:00,DENVER NUGGETS,88,SACRAMENTO KINGS,90,True
2013-10-31 02:30:00+00:00,LOS ANGELES LAKERS,94,GOLDEN STATE WARRIORS,125,True
2013-11-01 00:00:00+00:00,NEW YORK KNICKS,81,CHICAGO BULLS,82,True
2013-11-01 02:30:00+00:00,GOLDEN STATE WARRIORS,115,LOS ANGELES CLIPPERS,126,True
2013-11-01 23:00:00+00:00,CLEVELAND CAVALIERS,84,CHARLOTTE BOBCATS,90,True
2013-11-01 23:00:00+00:00,NEW ORLEANS PELICANS,90,ORLANDO MAGIC,110,True
2013-11-01 23:00:00+00:00,PHILADELPHIA 76ERS,109,WASHINGTON WIZARDS,102,False
2013-11-01 23:30:00+00:00,TORONTO RAPTORS,95,ATLANTA HAWKS,102,True
2013-11-01 23:30:00+00:00,MILWAUKEE BUCKS,105,BOSTON CELTICS,98,False
2013-11-02 00:00:00+00:00,MIAMI HEAT,100,BROOKLYN NETS,101,True
2013-11-02 00:00:00+00:00,DALLAS MAVERICKS,105,HOUSTON ROCKETS,113,True
2013-11-02 00:00:00+00:00,DETROIT PISTONS,108,MEMPHIS GRIZZLIES,111,True
2013-11-02 00:00:00+00:00,OKLAHOMA CITY THUNDER,81,MINNESOTA TIMBERWOLVES,100,True
2013-11-02 01:00:00+00:00,PORTLAND TRAIL BLAZERS,113,DENVER NUGGETS,98,False
2013-11-02 02:00:00+00:00,UTAH JAZZ,84,PHOENIX SUNS,87,True
2013-11-02 02:00:00+00:00,LOS ANGELES CLIPPERS,110,SACRAMENTO KINGS,101,False
2013-11-02 02:30:00+00:00,SAN ANTONIO SPURS,91,LOS ANGELES LAKERS,85,False
2013-11-02 23:00:00+00:00,CLEVELAND CAVALIERS,74,INDIANA PACERS,89,True
2013-11-02 23:30:00+00:00,CHICAGO BULLS,104,PHILADELPHIA 76ERS,107,True
2013-11-03 00:00:00+00:00,CHARLOTTE BOBCATS,84,NEW ORLEANS PELICANS,105,True
2013-11-03 00:30:00+00:00,MEMPHIS GRIZZLIES,99,DALLAS MAVERICKS,111,True
2013-11-03 00:30:00+00:00,TORONTO RAPTORS,97,MILWAUKEE BUCKS,90,False
2013-11-03 01:00:00+00:00,HOUSTON ROCKETS,104,UTAH JAZZ,93,False
2013-11-03 02:00:00+00:00,SAN ANTONIO SPURS,105,PORTLAND TRAIL BLAZERS,115,True
2013-11-03 02:30:00+00:00,SACRAMENTO KINGS,87,GOLDEN STATE WARRIORS,98,True
2013-11-03 23:00:00+00:00,BOSTON CELTICS,77,DETROIT PISTONS,87,True
2013-11-03 23:00:00+00:00,WASHINGTON WIZARDS,93,MIAMI HEAT,103,True
