cumulative_distance,n_game_road_trip,win?
0,0,1
0,0,1
3115,1,0
4447,2,1
5226,3,1
8835,4,0
0,0,1
1202,1,1
1509,2,1
0,0,1
0,0,1
0,0,1
0,0,1
684,1,0
0,0,0
1073,1,1
1785,2,0
0,0,1
0,0,0
1157,1,1
0,0,1
1185,1,1
0,0,1
0,0,1
0,0,1
949,1,0
1521,2,1
2647,3,0
4779,4,1
0,0,0
895,1,0
0,0,0
977,1,0
0,0,1
0,0,1
647,1,0
2445,2,1
0,0,1
0,0,1
0,0,0
0,0,1
0,0,1
1130,1,1
1435,2,0
0,0,1
647,1,0
2352,2,0
0,0,1
0,0,1
543,1,1
0,0,0
3115,1,1
3690,2,0
4742,3,0
5708,4,1
0,0,1
0,0,0
0,0,1
949,1,1
0,0,1
0,0,1
977,1,0
2737,2,0
3065,3,1
0,0,1
1204,1,1
1741,2,0
0,0,1
0,0,1
1079,1,0
0,0,1
1073,1,0
0,0,1
0,0,1
895,1,0
0,0,1
365,1,0
1179,2,0
0,0,1
874,1,1
1897,2,1
0,0,1
