cumulative_distance,n_game_road_trip,win?
0,0,1
0,0,1
761,1,0
2611,2,1
3278,3,1
0,0,1
986,1,1
0,0,1
0,0,1
0,0,0
1378,1,1
0,0,1
0,0,1
1806,1,1
2921,2,1
0,0,1
0,0,1
1161,1,1
0,0,1
0,0,1
0,0,1
761,1,1
1068,2,1
0,0,1
0,0,1
1509,1,1
0,0,1
0,0,1
0,0,1
4175,1,0
4735,2,0
4856,3,1
5635,4,0
0,0,1
307,1,0
1163,2,0
0,0,0
886,1,0
1192,2,1
0,0,1
0,0,1
305,1,1
0,0,1
2028,1,1
2359,2,1
0,0,1
0,0,1
986,1,1
0,0,1
436,1,1
0,0,0
307,1,1
0,0,0
2189,1,1
2900,2,1
4510,3,0
5324,4,1
6268,5,1
7606,6,0
0,0,1
0,0,0
305,1,1
0,0,1
0,0,0
2028,1,0
0,0,1
1378,1,0
1509,2,0
0,0,1
2845,1,1
3863,2,1
0,0,1
1798,1,0
2445,2,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
886,1,0
1463,2,1
0,0,1
