cumulative_distance,n_game_road_trip,win?
307,1,0
1293,2,1
0,0,1
0,0,0
0,0,1
0,0,1
3453,1,0
4505,2,0
5368,3,0
0,0,0
0,0,0
2138,1,1
2817,2,0
5243,3,1
0,0,0
8,1,1
0,0,1
0,0,0
0,0,0
1152,1,0
0,0,1
854,1,1
0,0,0
559,1,0
865,2,0
0,0,1
0,0,1
307,1,1
0,0,0
0,0,1
1152,1,1
2741,2,1
3072,3,0
0,0,0
0,0,0
0,0,0
781,1,0
0,0,0
0,0,0
328,1,1
0,0,0
4035,1,1
4618,2,0
5552,3,0
8099,4,0
0,0,0
0,0,1
559,1,1
0,0,1
328,1,0
1351,2,0
2249,3,0
4828,4,1
6166,5,1
7907,6,0
8419,7,0
8783,8,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
1756,1,0
3404,2,1
4989,3,1
6003,4,0
0,0,1
500,1,1
0,0,0
854,1,1
0,0,1
0,0,1
0,0,1
8,1,1
0,0,1
1202,1,0
0,0,1
0,0,0
0,0,1
1186,1,0
0,0,0
0,0,1
