cumulative_distance,n_game_road_trip,win?
1493,1,0
0,0,0
1062,1,0
2230,2,1
2993,3,0
0,0,0
0,0,0
947,1,1
1512,2,1
0,0,0
0,0,1
1056,1,0
0,0,1
856,1,0
0,0,0
0,0,1
1062,1,0
2532,2,0
0,0,1
726,1,0
0,0,1
602,1,0
0,0,0
0,0,1
838,1,0
1381,2,0
2255,3,0
0,0,0
0,0,1
0,0,1
0,0,0
0,0,0
1513,1,1
0,0,1
0,0,1
0,0,1
1161,1,0
0,0,0
726,1,0
1796,2,1
0,0,1
0,0,0
3609,1,1
4631,2,1
5683,3,1
6243,4,0
7177,5,0
9576,6,1
0,0,0
0,0,0
0,0,1
602,1,0
0,0,0
365,1,1
0,0,1
947,1,0
0,0,1
0,0,1
747,1,0
3243,2,0
4581,3,0
5913,4,0
0,0,0
0,0,0
0,0,1
947,1,1
3044,2,0
3711,3,0
4390,4,0
0,0,0
1161,1,1
0,0,1
0,0,1
0,0,1
747,1,0
0,0,0
702,1,0
0,0,0
1056,1,0
0,0,0
860,1,1
0,0,1
