cumulative_distance,n_game_road_trip,win?
0,0,1
0,0,0
856,1,0
2739,2,0
0,0,1
0,0,1
3409,1,0
4741,2,0
6362,3,1
7414,4,0
0,0,0
602,1,0
0,0,0
1056,1,0
0,0,0
0,0,0
0,0,0
365,1,0
0,0,0
0,0,1
0,0,1
838,1,0
0,0,0
702,1,0
0,0,0
726,1,1
0,0,1
0,0,1
1062,1,1
2243,2,0
0,0,0
0,0,0
1492,1,0
0,0,0
747,1,1
2545,2,1
0,0,1
947,1,1
1498,2,1
0,0,0
0,0,1
0,0,1
0,0,1
702,1,0
0,0,1
1779,1,0
3072,2,1
5472,3,1
0,0,1
726,1,0
0,0,0
0,0,0
0,0,0
1493,1,0
2786,2,1
4154,3,0
5952,4,1
0,0,1
854,1,1
0,0,1
814,1,1
0,0,0
0,0,0
0,0,1
2778,1,0
3712,2,0
4295,3,0
6731,4,1
7303,5,0
0,0,0
531,1,0
0,0,1
0,0,0
0,0,1
602,1,0
0,0,1
1056,1,0
0,0,0
365,1,0
1328,2,0
0,0,0
947,1,0
