cumulative_distance,n_game_road_trip,win?
0,0,1
1368,1,0
0,0,1
1589,1,0
3033,2,0
0,0,1
0,0,0
0,0,0
0,0,1
0,0,1
2808,1,0
4140,2,0
5003,3,1
6530,4,0
7128,5,1
8880,6,0
11306,7,1
0,0,0
131,1,0
0,0,1
0,0,1
778,1,0
0,0,1
947,1,0
0,0,1
1368,1,0
0,0,1
382,1,0
2245,2,0
3222,3,0
4426,4,1
0,0,0
495,1,0
0,0,0
0,0,1
0,0,1
0,0,0
0,0,0
702,1,1
0,0,1
0,0,0
1146,1,0
0,0,0
0,0,0
572,1,0
3024,2,1
3607,3,1
4629,4,1
6264,5,0
6776,6,1
7487,7,0
0,0,1
0,0,0
131,1,1
0,0,1
665,1,0
0,0,1
1136,1,0
1466,2,0
0,0,1
947,1,0
0,0,1
0,0,1
1920,1,0
2251,2,0
3644,3,0
0,0,1
0,0,1
1116,1,1
0,0,0
958,1,1
0,0,1
0,0,1
0,0,1
702,1,0
1046,2,0
0,0,1
0,0,1
0,0,1
0,0,1
382,1,1
0,0,0
