cumulative_distance,n_game_road_trip,win?
0,0,0
306,1,0
1421,2,1
0,0,1
0,0,1
0,0,0
651,1,1
2164,2,1
2495,3,1
0,0,1
0,0,1
491,1,0
798,2,1
0,0,1
145,1,1
959,2,0
0,0,1
0,0,1
0,0,1
540,1,1
1438,2,0
2219,3,0
0,0,1
1531,1,1
0,0,1
577,1,1
0,0,1
1648,1,0
3076,2,1
4098,3,1
4681,4,1
0,0,1
895,1,1
0,0,1
641,1,1
0,0,0
0,0,1
1972,1,0
3554,2,1
4417,3,1
5383,4,0
6317,5,1
0,0,1
0,0,1
0,0,1
1758,1,1
0,0,1
184,1,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
702,1,0
1449,2,0
0,0,1
886,1,1
1579,2,1
0,0,1
641,1,1
0,0,1
540,1,0
0,0,1
577,1,1
0,0,1
145,1,1
0,0,1
495,1,1
0,0,1
1491,1,1
2308,2,0
0,0,1
0,0,1
0,0,1
886,1,0
0,0,1
495,1,0
0,0,0
0,0,0
895,1,0
