cumulative_distance,n_game_road_trip,win?
0,0,1
364,1,0
0,0,1
0,0,1
305,1,0
1424,2,0
1905,3,1
0,0,1
1788,1,0
2119,2,1
0,0,1
0,0,1
0,0,1
1067,1,0
0,0,0
0,0,1
1157,1,0
0,0,0
0,0,1
711,1,1
4031,2,1
4810,3,0
4931,4,0
0,0,1
0,0,1
0,0,0
1428,1,0
3063,2,1
0,0,0
1293,1,1
1865,2,1
3367,3,1
0,0,0
0,0,0
0,0,1
411,1,0
1228,2,1
0,0,1
0,0,1
1997,1,0
2572,2,1
0,0,0
1648,1,1
1954,2,0
2513,3,0
0,0,1
0,0,0
0,0,1
0,0,1
673,1,1
0,0,1
2493,1,1
3654,2,0
4256,3,1
0,0,0
2087,1,1
2799,2,1
3573,3,1
0,0,1
0,0,0
411,1,0
1704,2,0
0,0,1
0,0,1
2388,1,0
3354,2,1
4742,3,1
0,0,1
0,0,0
0,0,1
0,0,0
0,0,1
0,0,0
0,0,1
0,0,0
1997,1,1
1997,2,1
2580,3,1
3438,4,1
0,0,0
0,0,1
673,1,0
