cumulative_distance,n_game_road_trip,win?
1741,1,1
0,0,0
2164,1,0
3279,2,1
4153,3,0
5139,4,1
6968,5,0
0,0,0
0,0,0
1582,1,0
0,0,1
0,0,0
0,0,1
0,0,1
598,1,0
0,0,0
944,1,1
0,0,0
0,0,0
598,1,0
3693,2,1
3822,3,0
4150,4,0
5372,5,1
6919,6,0
0,0,1
0,0,1
0,0,1
1338,1,0
0,0,0
1338,1,1
0,0,1
0,0,0
1527,1,0
0,0,0
0,0,0
812,1,0
0,0,1
0,0,1
1338,1,1
3274,2,0
0,0,1
1126,1,0
0,0,1
0,0,1
944,1,1
1519,2,0
0,0,0
0,0,1
1293,1,0
0,0,1
1950,1,0
3152,2,1
3803,3,0
0,0,1
0,0,0
1429,1,0
0,0,1
0,0,0
1479,1,1
1610,2,1
0,0,0
0,0,1
0,0,0
0,0,1
1429,1,1
0,0,1
0,0,1
0,0,0
1415,1,0
0,0,1
2132,1,1
0,0,0
1582,1,0
5264,2,0
6320,3,1
7398,4,1
7910,5,0
0,0,1
0,0,0
1067,1,1
1372,2,1
