cumulative_distance,n_game_road_trip,win?
963,1,1
0,0,1
0,0,1
0,0,0
2720,1,1
4341,2,1
5204,3,0
5325,4,0
5908,5,0
5908,6,0
0,0,1
874,1,1
0,0,0
406,1,0
0,0,1
1466,1,0
3604,2,0
0,0,1
0,0,1
0,0,1
0,0,1
814,1,0
0,0,0
712,1,1
0,0,1
0,0,0
0,0,1
382,1,1
2302,2,1
3279,3,0
0,0,0
774,1,0
0,0,1
329,1,0
0,0,1
986,1,1
0,0,1
0,0,0
1004,1,0
0,0,1
0,0,0
1782,1,1
2294,2,0
4035,3,0
5594,4,1
0,0,1
0,0,0
333,1,0
892,2,1
1199,3,0
0,0,1
329,1,0
0,0,0
0,0,0
636,1,0
0,0,0
145,1,1
0,0,1
406,1,1
0,0,1
1996,1,0
4545,2,0
0,0,1
1607,1,1
3100,2,0
3826,3,1
4025,4,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
0,0,1
0,0,0
382,1,1
2302,2,0
2633,3,1
0,0,1
0,0,0
145,1,1
