cumulative_distance,n_game_road_trip,win?
0,0,0
3649,1,0
4186,2,1
5719,3,0
0,0,1
0,0,0
121,1,0
0,0,1
0,0,0
560,1,1
0,0,1
0,0,0
4056,1,0
4255,2,0
4890,3,0
5776,4,0
6427,5,0
0,0,0
2647,1,0
2952,2,0
3631,3,1
0,0,1
0,0,0
1527,1,0
0,0,0
3650,1,0
4510,2,0
4875,3,1
5622,4,0
5953,5,0
0,0,1
560,1,0
0,0,1
2234,1,0
3353,2,0
4940,3,0
0,0,0
863,1,0
0,0,1
0,0,0
0,0,1
0,0,1
0,0,0
0,0,0
0,0,1
2388,1,0
3099,2,1
3611,3,0
0,0,0
0,0,1
1052,1,0
0,0,1
0,0,1
0,0,1
0,0,0
0,0,1
560,1,0
0,0,0
0,0,0
2548,1,1
3120,2,0
3502,3,0
3908,4,0
0,0,1
0,0,1
0,0,0
0,0,1
560,1,0
0,0,1
3098,1,0
3915,2,0
4326,3,0
5393,4,0
0,0,0
0,0,1
0,0,1
121,1,1
0,0,0
0,0,0
966,1,1
0,0,0
1052,1,0
