cumulative_distance,n_game_road_trip,win?
0,0,1
364,1,1
0,0,1
0,0,0
2955,1,0
4287,2,1
4287,3,0
4862,4,1
6227,5,0
0,0,1
667,1,1
0,0,0
1964,1,1
3186,2,1
3517,3,1
0,0,0
0,0,1
1415,1,0
0,0,1
0,0,1
781,1,0
0,0,1
2647,1,1
3207,2,0
0,0,1
0,0,1
1705,1,1
3331,2,1
3972,3,0
5463,4,0
0,0,1
0,0,0
0,0,1
2097,1,0
3282,2,0
4355,3,0
4791,4,1
7197,5,1
0,0,1
0,0,0
0,0,1
0,0,1
0,0,1
1850,1,0
2179,2,1
2953,3,0
0,0,0
0,0,1
0,0,1
781,1,0
0,0,1
1621,1,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1518,1,0
2090,2,1
0,0,1
1932,1,0
0,0,1
0,0,1
1415,1,1
0,0,0
1492,1,1
0,0,0
512,1,1
0,0,1
0,0,1
305,1,1
2057,2,0
0,0,1
1635,1,0
2210,2,0
0,0,1
0,0,1
2588,1,1
2709,2,1
0,0,1
364,1,0
