cumulative_distance,n_game_road_trip,win?
860,1,0
0,0,0
0,0,0
496,1,1
0,0,1
0,0,1
0,0,1
488,1,1
0,0,0
0,0,0
602,1,0
1549,2,0
0,0,1
0,0,0
3650,1,0
3771,2,0
4629,3,0
5563,4,0
0,0,0
0,0,1
307,1,1
1529,2,0
0,0,1
1079,1,0
2097,2,0
0,0,0
761,1,0
0,0,0
1651,1,0
3571,2,0
0,0,0
0,0,1
496,1,0
0,0,1
1198,1,0
2317,2,0
0,0,1
0,0,1
488,1,1
0,0,0
1651,1,0
1982,2,0
3525,3,1
0,0,0
406,1,1
0,0,0
0,0,0
344,1,0
0,0,1
0,0,1
720,1,0
0,0,0
0,0,0
1502,1,0
2014,2,1
2378,3,0
3671,4,0
0,0,0
0,0,1
3447,1,0
4779,2,0
6361,3,0
7305,4,0
0,0,1
761,1,0
2139,2,0
0,0,1
184,1,0
0,0,1
0,0,1
329,1,1
0,0,1
0,0,1
860,1,0
0,0,1
0,0,0
0,0,1
0,0,1
184,1,1
0,0,1
0,0,0
307,1,0
