cumulative_distance,n_game_road_trip,win?
560,1,1
2957,2,0
0,0,0
0,0,1
0,0,1
0,0,1
1332,1,0
0,0,1
0,0,1
0,0,1
934,1,0
0,0,1
0,0,0
0,0,1
0,0,0
0,0,1
1338,1,1
0,0,1
934,1,1
0,0,0
3698,1,1
4920,2,1
6364,3,0
6941,4,1
7667,5,1
9160,6,0
0,0,1
1332,1,1
0,0,0
560,1,0
0,0,1
0,0,0
583,1,1
1605,2,0
3240,3,1
4945,4,0
6571,5,0
9118,6,1
0,0,0
0,0,0
0,0,1
0,0,0
0,0,1
0,0,1
3447,1,0
5093,2,0
6022,3,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1997,1,1
0,0,0
583,1,1
0,0,1
2579,1,0
3258,2,1
4377,3,1
0,0,1
0,0,1
1338,1,1
2282,2,0
0,0,1
3115,1,0
4317,2,0
