cumulative_distance,n_game_road_trip,win?
0,0,0
583,1,0
0,0,1
0,0,1
0,0,1
1338,1,0
0,0,1
1332,1,0
0,0,1
0,0,1
0,0,1
934,1,1
0,0,1
0,0,0
0,0,1
3764,1,0
4095,2,0
0,0,0
0,0,1
2806,1,0
3287,2,1
0,0,1
1338,1,1
1936,2,0
5031,3,0
5467,4,1
5774,5,0
6325,6,1
0,0,1
0,0,1
575,1,0
0,0,1
1997,1,1
2302,2,0
0,0,1
0,0,1
0,0,1
3190,1,0
3826,2,0
5328,3,1
0,0,1
2579,1,1
3158,2,1
0,0,1
0,0,0
2209,1,0
2573,2,1
0,0,1
0,0,0
560,1,1
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
575,1,0
2691,2,1
3508,3,1
0,0,1
0,0,1
0,0,0
560,1,1
2957,2,0
0,0,1
583,1,0
