cumulative_distance,n_game_road_trip,win?
0,0,1
1079,1,1
1681,2,1
0,0,1
2031,1,1
3385,2,1
4566,3,0
0,0,1
0,0,1
0,0,1
0,0,1
1317,1,0
0,0,1
0,0,1
2579,1,1
3911,2,1
4690,3,1
7278,4,0
0,0,0
0,0,1
0,0,1
0,0,1
1416,1,1
0,0,1
1018,1,1
0,0,0
1015,1,0
0,0,0
0,0,0
1408,1,1
0,0,1
2579,1,1
3917,2,0
0,0,1
543,1,0
1227,2,0
0,0,1
1538,1,1
3047,2,1
0,0,1
0,0,0
0,0,1
0,0,1
0,0,1
673,1,1
0,0,1
0,0,1
2031,1,1
2845,2,1
4432,3,0
0,0,1
0,0,1
679,1,0
3072,2,1
4404,3,1
4987,4,0
0,0,0
1129,1,1
0,0,0
781,1,1
0,0,1
579,1,0
1925,2,1
3293,3,0
3928,4,0
0,0,1
0,0,1
1004,1,0
2611,2,1
0,0,1
1536,1,1
0,0,0
0,0,0
1018,1,0
0,0,1
0,0,1
0,0,0
0,0,1
2011,1,1
2945,2,0
3505,3,0
0,0,1
