cumulative_distance,n_game_road_trip,win?
1760,1,0
0,0,1
1056,1,0
0,0,1
1849,1,1
2666,2,0
0,0,1
0,0,0
0,0,1
1994,1,0
2559,2,1
0,0,0
0,0,1
0,0,0
4360,1,0
5981,2,1
6556,3,0
7116,4,1
8082,5,1
0,0,1
0,0,1
0,0,0
1408,1,0
0,0,0
0,0,1
1770,1,1
0,0,1
0,0,1
1758,1,0
0,0,1
331,1,0
0,0,1
0,0,0
2780,1,0
4209,2,1
4792,3,0
7244,4,1
7725,5,1
9346,6,0
10013,7,1
0,0,0
0,0,1
0,0,1
0,0,1
1651,1,0
0,0,0
0,0,1
1863,1,0
2575,2,0
0,0,1
0,0,0
1920,1,1
0,0,0
0,0,1
331,1,0
0,0,1
977,1,0
0,0,1
0,0,0
0,0,1
1994,1,1
2300,2,0
0,0,1
0,0,1
0,0,1
1648,1,0
2084,2,0
2389,3,0
3152,4,1
0,0,1
1651,1,0
2316,2,0
0,0,1
0,0,0
1788,1,0
3281,2,1
3812,3,1
0,0,0
2028,1,0
0,0,1
977,1,0
0,0,1
