cumulative_distance,n_game_road_trip,win?
1378,1,1
0,0,1
0,0,0
1023,1,1
0,0,0
1116,1,1
0,0,1
0,0,1
1062,1,0
2118,2,0
0,0,0
131,1,1
0,0,0
481,1,0
0,0,1
1470,1,0
2287,2,0
0,0,1
1186,1,1
0,0,1
540,1,1
0,0,0
0,0,1
898,1,0
2727,2,1
0,0,0
0,0,1
0,0,1
406,1,0
0,0,0
0,0,0
720,1,0
0,0,1
131,1,1
0,0,0
693,1,1
4192,2,0
4767,3,1
6388,4,1
0,0,1
540,1,0
0,0,1
406,1,1
0,0,0
1180,1,0
0,0,1
1470,1,0
2068,2,0
0,0,0
0,0,0
0,0,1
1186,1,0
0,0,0
0,0,0
1379,1,1
1743,2,1
0,0,1
0,0,1
2806,1,0
3366,2,1
3487,3,1
0,0,0
1023,1,0
0,0,0
0,0,1
0,0,1
1079,1,0
1939,2,0
0,0,0
1116,1,0
0,0,1
0,0,0
0,0,1
0,0,0
1180,1,0
0,0,1
2048,1,0
2379,2,0
3026,3,0
3391,4,0
0,0,0
1181,1,1
