cumulative_distance,n_game_road_trip,win?
0,0,1
0,0,1
1638,1,1
2289,2,0
0,0,0
0,0,1
2452,1,1
2452,2,0
0,0,1
1126,1,0
0,0,1
1502,1,0
0,0,0
0,0,1
1705,1,0
3555,2,0
0,0,0
1390,1,1
1695,2,0
0,0,0
874,1,1
0,0,1
1792,1,0
2810,2,1
4639,3,0
0,0,1
2452,1,0
2452,2,0
0,0,1
481,1,1
0,0,0
0,0,1
0,0,0
1585,1,1
0,0,0
0,0,1
1792,1,0
0,0,0
1115,1,0
0,0,1
1587,1,1
2553,2,1
3416,3,0
6243,4,1
0,0,1
0,0,0
1464,1,0
0,0,1
1119,1,0
2048,2,0
0,0,0
0,0,0
0,0,1
0,0,1
1587,1,1
2610,2,0
4231,3,1
5253,4,1
6682,5,1
0,0,0
0,0,1
0,0,0
0,0,1
1513,1,0
0,0,1
1390,1,1
1754,2,0
0,0,0
1129,1,0
0,0,1
0,0,1
1645,1,0
0,0,0
0,0,1
2440,1,1
2771,2,0
0,0,1
0,0,0
0,0,1
2436,1,0
2557,2,0
0,0,0
