cumulative_distance,n_game_road_trip,win?
1626,1,0
0,0,0
330,1,0
861,2,0
0,0,0
133,1,0
0,0,0
0,0,0
1521,1,0
1852,2,0
0,0,0
1168,1,0
0,0,0
2613,1,0
4195,2,0
4974,3,0
5557,4,0
0,0,0
0,0,1
16,1,0
1162,2,1
0,0,0
488,1,0
1348,2,0
2243,3,0
0,0,0
537,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
1204,1,0
1888,2,0
2705,3,0
0,0,0
0,0,0
3933,1,0
4508,2,0
5560,3,0
6526,4,0
0,0,1
0,0,0
0,0,0
0,0,0
537,1,0
1230,2,0
2216,3,0
2361,4,0
0,0,0
860,1,1
0,0,0
0,0,0
0,0,0
0,0,0
305,1,1
0,0,0
0,0,0
0,0,0
16,1,1
1552,2,0
2225,3,0
2530,4,0
3197,5,0
0,0,0
133,1,0
0,0,0
0,0,0
0,0,1
0,0,1
1136,1,0
0,0,1
0,0,0
0,0,1
330,1,0
1353,2,0
0,0,1
488,1,0
0,0,0
1770,1,0
