cumulative_distance,n_game_road_trip,win?
0,0,1
0,0,1
817,1,1
1122,2,1
0,0,1
1470,1,1
0,0,1
0,0,1
711,1,0
0,0,1
0,0,1
3030,1,1
3613,2,0
4547,3,0
5570,4,1
0,0,0
929,1,0
0,0,1
0,0,0
817,1,0
0,0,1
0,0,0
1754,1,0
3402,2,0
0,0,1
0,0,1
1515,1,0
1844,2,0
0,0,1
0,0,1
1697,1,0
0,0,0
2189,1,1
2824,2,1
0,0,1
0,0,0
2690,1,0
4028,2,1
0,0,1
512,1,1
2004,2,1
0,0,1
0,0,1
684,1,1
0,0,1
0,0,1
3098,1,1
3219,2,0
4241,3,0
0,0,1
929,1,0
0,0,0
0,0,0
1884,1,0
3405,2,1
0,0,0
3098,1,0
3961,2,0
0,0,1
1697,1,1
0,0,0
1795,1,0
2346,2,0
3882,3,1
4897,4,1
5392,5,0
0,0,1
0,0,1
0,0,0
0,0,1
0,0,0
2309,1,1
3123,2,1
3698,3,0
0,0,1
0,0,0
0,0,1
0,0,1
0,0,1
579,1,0
0,0,0
711,1,0
