cumulative_distance,n_game_road_trip,win?
3098,1,0
3961,2,0
0,0,0
0,0,0
0,0,0
711,1,0
0,0,1
684,1,0
1869,2,0
2420,3,0
0,0,0
929,1,0
0,0,1
0,0,1
2116,1,1
2691,2,0
3625,3,0
0,0,0
512,1,0
0,0,1
0,0,0
0,0,1
1346,1,0
4173,2,0
5196,3,1
6010,4,0
6954,5,1
0,0,1
1078,1,0
0,0,1
859,1,0
0,0,0
711,1,1
0,0,0
0,0,0
2690,1,0
2690,2,0
3273,3,1
0,0,1
579,1,0
0,0,1
0,0,1
0,0,1
0,0,0
0,0,1
0,0,1
0,0,0
817,1,0
0,0,0
1491,1,0
2505,2,1
0,0,1
929,1,0
0,0,1
1515,1,1
2151,2,0
0,0,1
0,0,0
512,1,0
0,0,0
0,0,0
0,0,1
1046,1,0
1884,2,0
2782,3,0
5745,4,0
5866,5,1
0,0,0
0,0,1
0,0,0
1502,1,0
0,0,0
0,0,1
817,1,0
0,0,1
1883,1,1
2012,2,0
2448,3,0
0,0,1
0,0,0
0,0,0
1697,1,0
