cumulative_distance,n_game_road_trip,win?
0,0,1
0,0,1
130,1,1
0,0,1
1513,1,1
3182,2,1
4200,3,0
0,0,1
1883,1,1
2594,2,0
2958,3,0
0,0,1
8,1,0
1194,2,1
0,0,1
0,0,1
856,1,1
1912,2,1
3832,3,0
0,0,1
8,1,1
0,0,1
0,0,1
0,0,0
0,0,1
0,0,0
0,0,1
3941,1,0
4516,2,1
5538,3,0
0,0,0
0,0,1
1513,1,1
0,0,0
496,1,0
0,0,0
0,0,1
774,1,1
0,0,0
307,1,1
743,2,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
328,1,0
1830,2,1
0,0,0
0,0,0
496,1,0
840,2,0
0,0,1
0,0,1
328,1,1
0,0,0
651,1,1
796,2,1
0,0,0
0,0,1
4135,1,0
5662,2,0
7244,3,0
8576,4,0
9510,5,1
0,0,1
551,1,1
0,0,1
307,1,1
0,0,1
0,0,1
0,0,1
1760,1,1
2737,2,1
0,0,1
2134,1,1
0,0,1
1146,1,0
1641,2,1
0,0,1
856,1,0
0,0,1
