cumulative_distance,n_game_road_trip,win?
679,1,0
0,0,1
0,0,0
0,0,1
1116,1,1
0,0,1
0,0,1
1466,1,1
0,0,0
929,1,1
0,0,1
0,0,1
2406,1,0
2842,2,1
0,0,1
0,0,1
0,0,1
929,1,1
2812,2,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1217,1,1
2681,2,0
5121,3,0
0,0,1
667,1,1
0,0,1
0,0,0
0,0,1
1798,1,1
2363,2,0
0,0,1
1899,1,1
3231,2,1
4852,3,1
0,0,1
305,1,1
1372,2,0
2710,3,1
3270,4,0
3391,5,1
3974,6,0
0,0,1
1531,1,0
0,0,1
0,0,1
0,0,1
1354,1,1
2168,2,0
0,0,0
667,1,0
0,0,1
0,0,1
0,0,1
812,1,0
2150,2,1
0,0,1
2134,1,1
2990,2,1
0,0,1
679,1,0
0,0,1
0,0,1
305,1,1
0,0,0
679,1,0
1780,2,1
0,0,1
0,0,1
1119,1,0
1600,2,1
0,0,1
1646,1,1
0,0,0
1388,1,1
2354,2,1
3217,3,1
0,0,1
0,0,0
