cumulative_distance,n_game_road_trip,win?
859,1,0
0,0,0
0,0,0
1589,1,0
2659,2,1
0,0,1
1509,1,0
2068,2,0
2619,3,1
0,0,1
1222,1,0
1858,2,1
0,0,0
747,1,1
0,0,0
1444,1,0
0,0,0
1348,1,0
4301,2,1
5353,3,0
5913,4,0
6847,5,1
7705,6,1
0,0,0
647,1,0
0,0,1
1692,1,0
2385,2,0
0,0,0
0,0,0
0,0,1
0,0,0
747,1,1
1803,2,1
0,0,0
0,0,0
0,0,0
2496,1,0
3834,2,0
5166,3,0
7993,4,1
0,0,1
0,0,0
0,0,0
1543,1,0
2317,2,0
0,0,0
1101,1,0
0,0,0
0,0,0
1705,1,0
2384,2,0
0,0,1
0,0,0
1222,1,0
0,0,1
0,0,1
0,0,1
0,0,0
647,1,0
0,0,0
0,0,0
0,0,1
0,0,1
1348,1,0
2068,2,0
3446,3,0
0,0,0
1366,1,0
1730,2,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
2111,1,1
2592,2,1
0,0,1
0,0,0
0,0,0
331,1,0
2087,2,0
