cumulative_distance,n_game_road_trip,win?
3877,1,0
5498,2,1
6312,3,0
7278,4,1
10376,5,1
0,0,1
0,0,1
0,0,1
0,0,1
130,1,0
0,0,1
199,1,1
0,0,1
0,0,0
0,0,1
1648,1,0
0,0,1
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
1073,1,1
0,0,1
0,0,0
0,0,0
577,1,1
1279,2,1
2026,3,0
0,0,0
1585,1,0
2714,2,0
3495,3,0
5277,4,1
0,0,0
0,0,1
0,0,0
1116,1,0
0,0,1
0,0,1
130,1,1
626,2,0
0,0,0
1070,1,0
2017,2,1
0,0,0
0,0,1
2426,1,0
0,0,1
199,1,0
0,0,1
1648,1,0
0,0,0
0,0,0
436,1,0
741,2,1
1278,3,1
0,0,0
1393,1,0
0,0,0
577,1,1
761,2,1
1249,3,1
2417,4,1
2823,5,0
