cumulative_distance,n_game_road_trip,win?
0,0,0
0,0,1
1621,1,1
2953,2,0
0,0,1
0,0,0
1354,1,0
0,0,1
0,0,1
0,0,1
0,0,0
944,1,1
2685,2,0
3502,3,0
0,0,0
0,0,0
3041,1,1
3600,2,0
4381,3,0
5017,4,0
6246,5,0
7024,6,1
0,0,1
0,0,0
0,0,1
1428,1,0
3816,2,0
0,0,1
0,0,0
2211,1,0
0,0,0
0,0,0
0,0,0
1365,1,0
2044,2,0
4197,3,0
4780,4,0
0,0,1
0,0,0
2953,1,0
3714,2,0
5520,3,0
0,0,0
0,0,0
0,0,1
3349,1,0
3926,2,0
4577,3,0
6782,4,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
575,1,0
0,0,0
0,0,1
2867,1,0
3923,2,0
4254,3,1
5355,4,1
0,0,0
944,1,0
2471,2,0
0,0,1
2211,1,0
4965,2,1
0,0,0
0,0,1
1022,1,0
0,0,0
2061,1,0
2542,2,0
0,0,0
0,0,0
2560,1,0
3690,2,1
4202,3,1
0,0,0
0,0,1
