cumulative_distance,n_game_road_trip,win?
0,0,1
0,0,0
2955,1,0
3622,2,1
0,0,0
0,0,1
0,0,1
2975,1,1
4104,2,1
5801,3,1
6847,4,1
7212,5,0
0,0,1
863,1,0
0,0,1
0,0,1
0,0,1
0,0,0
1023,1,0
0,0,0
0,0,1
3931,1,0
4427,2,1
4611,3,0
5151,4,0
0,0,1
0,0,1
4070,1,0
4401,2,1
6189,3,1
6600,4,1
0,0,1
0,0,0
0,0,1
0,0,1
1332,1,0
0,0,0
0,0,1
0,0,0
0,0,1
0,0,1
3784,1,0
3983,2,1
4419,3,0
5405,4,1
0,0,0
0,0,0
2955,1,0
3319,2,1
0,0,1
1023,1,0
0,0,1
0,0,0
0,0,0
1621,1,1
0,0,1
0,0,0
0,0,0
3918,1,1
4455,2,1
5157,3,0
5729,4,1
6858,5,1
0,0,1
1582,1,0
0,0,1
863,1,1
984,2,1
0,0,1
0,0,1
1621,1,0
0,0,1
3320,1,1
4249,2,1
0,0,1
1582,1,0
3011,2,1
3594,3,1
0,0,0
1332,1,1
0,0,1
0,0,0
