cumulative_distance,n_game_road_trip,win?
2436,1,1
4062,2,0
4703,3,1
0,0,1
0,0,0
0,0,0
0,0,0
1022,1,0
0,0,0
0,0,0
0,0,1
0,0,0
858,1,0
1792,2,0
0,0,0
0,0,0
583,1,0
0,0,0
583,1,0
0,0,1
0,0,0
2588,1,0
3100,2,0
4029,3,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
1429,1,0
0,0,1
0,0,0
0,0,1
3539,1,0
4104,2,0
4739,3,0
5046,4,1
5820,5,0
6783,6,0
0,0,0
121,1,0
984,2,1
0,0,0
583,1,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1022,1,1
2376,2,0
2681,3,0
4469,4,0
4800,5,1
5547,6,0
6385,7,0
0,0,1
0,0,0
858,1,0
0,0,0
0,0,0
2347,1,0
3164,2,0
0,0,1
0,0,0
0,0,0
2436,1,1
3008,2,0
3139,3,1
3859,4,1
4265,5,1
0,0,1
1429,1,0
0,0,0
0,0,1
2588,1,1
2893,2,0
3911,3,0
6810,4,1
0,0,0
0,0,0
