cumulative_distance,n_game_road_trip,win?
0,0,0
2770,1,0
0,0,0
1792,1,1
0,0,0
0,0,1
1786,1,0
0,0,1
2347,1,1
2930,2,1
0,0,0
0,0,1
1018,1,1
0,0,1
0,0,1
305,1,0
0,0,0
1293,1,1
0,0,1
411,1,1
0,0,1
1792,1,1
0,0,1
817,1,0
1676,2,0
0,0,1
0,0,1
0,0,1
1365,1,1
0,0,1
0,0,0
1018,1,1
0,0,1
1849,1,1
0,0,1
0,0,0
0,0,1
2426,1,0
3496,2,1
4443,3,1
0,0,1
0,0,1
1936,1,0
2870,2,1
3684,3,1
0,0,1
2397,1,1
3924,2,0
6769,3,1
7074,4,1
7611,5,0
8162,6,0
8936,7,1
9572,8,1
0,0,1
0,0,1
0,0,0
2770,1,0
4102,2,1
6099,3,0
0,0,1
0,0,1
0,0,1
0,0,0
305,1,1
972,2,0
0,0,1
0,0,0
0,0,0
0,0,1
1421,1,1
0,0,1
817,1,0
0,0,0
2097,1,1
2281,2,0
3812,3,1
0,0,0
0,0,1
2347,1,1
2468,2,1
0,0,1
