cumulative_distance,n_game_road_trip,win?
0,0,1
1317,1,0
0,0,0
0,0,1
1795,1,1
2506,2,0
2917,3,0
0,0,1
3499,1,1
4074,2,0
5018,3,0
5616,4,0
0,0,1
0,0,0
0,0,1
947,1,0
2108,2,0
0,0,0
0,0,0
1185,1,0
2059,2,1
3017,3,1
0,0,1
693,1,0
0,0,0
0,0,1
1994,1,0
2325,2,0
0,0,1
0,0,1
333,1,1
0,0,1
0,0,1
693,1,0
0,0,1
1692,1,1
3085,2,1
0,0,0
344,1,0
840,2,1
0,0,1
306,1,0
846,2,0
0,0,1
0,0,1
0,0,1
551,1,1
0,0,1
344,1,0
0,0,1
0,0,1
0,0,1
0,0,0
537,1,1
0,0,1
0,0,0
0,0,0
1798,1,0
2465,2,0
0,0,1
0,0,0
3499,1,0
4082,2,0
4203,3,0
5066,4,0
0,0,1
0,0,0
537,1,1
2163,2,1
0,0,0
0,0,0
1994,1,0
3050,2,1
0,0,1
541,1,1
0,0,0
306,1,0
0,0,0
1185,1,0
0,0,0
333,1,1
0,0,1
