cumulative_distance,n_game_road_trip,win?
934,1,0
2272,2,0
0,0,1
1752,1,0
0,0,1
0,0,1
0,0,1
966,1,1
0,0,1
0,0,0
0,0,1
598,1,1
0,0,1
0,0,0
0,0,1
0,0,0
1610,1,0
0,0,1
0,0,1
0,0,0
966,1,0
0,0,1
3171,1,0
3667,2,0
0,0,0
2011,1,1
2590,2,0
3519,3,0
0,0,1
1932,1,0
0,0,0
1587,1,0
4023,2,0
0,0,1
0,0,1
1610,1,0
3258,2,1
3960,3,1
4686,4,0
5756,5,0
0,0,1
814,1,0
0,0,1
0,0,1
934,1,1
0,0,1
858,1,1
0,0,1
2547,1,0
3751,2,1
4056,3,0
0,0,0
934,1,0
2266,2,1
0,0,0
0,0,1
1752,1,0
0,0,1
1932,1,1
2444,2,0
3023,3,0
0,0,1
1023,1,1
0,0,1
0,0,1
0,0,1
