cumulative_distance,n_game_road_trip,win?
0,0,0
636,1,0
1042,2,0
0,0,0
1222,1,0
0,0,1
1493,1,0
0,0,0
874,1,0
0,0,0
328,1,0
0,0,1
0,0,0
0,0,0
330,1,1
0,0,0
0,0,0
958,1,0
0,0,1
0,0,0
199,1,0
0,0,0
636,1,0
0,0,0
0,0,0
531,1,0
1233,2,0
0,0,1
1964,1,1
2476,2,0
4665,3,0
0,0,1
1222,1,0
0,0,0
958,1,0
0,0,0
0,0,0
328,1,0
0,0,1
3925,1,0
4046,2,1
4629,3,0
5961,4,0
0,0,0
1493,1,0
3141,2,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
874,1,0
1239,2,0
0,0,1
330,1,1
0,0,0
0,0,0
0,0,1
1023,1,0
0,0,0
1853,1,0
2532,2,0
2943,3,0
4333,4,1
0,0,0
0,0,0
0,0,1
2969,1,0
3903,2,0
5241,3,0
6185,4,0
0,0,0
0,0,1
0,0,0
307,1,0
1386,2,0
0,0,1
0,0,0
491,1,0
797,2,1
0,0,0
635,1,0
